ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-11-20T08:35:58Z;range_close;;;2025-11-20-1;14452;
2025-11-20T09:02:49Z;range_open;BUY;4071.0;2025-11-20-2;14456;0.90
2025-11-20T09:28:32Z;range_close;;;2025-11-20-2;14475;
2025-11-20T09:53:17Z;range_open;BUY;4068.0;2025-11-20-3;14477;0.90
2025-11-20T10:14:16Z;range_close;;;2025-11-20-3;14493;
2025-11-20T10:55:10Z;range_open;BUY;4060.0;2025-11-20-4;14495;0.90
2025-11-20T11:47:05Z;range_close;;;2025-11-20-4;14510;
2025-11-20T12:09:49Z;range_open;BUY;4068.0;2025-11-20-5;14512;0.90
2025-11-20T13:30:15Z;range_close;;;2025-11-20-5;14516;
2025-11-21T07:38:48Z;range_open;BUY;4035.0;2025-11-21-1;14523;0.90
2025-11-21T07:55:21Z;range_close;;;2025-11-21-1;14526;
2025-11-21T08:18:11Z;range_open;BUY;4040.0;2025-11-21-2;14529;0.90
2025-11-21T08:22:18Z;range_close;;;2025-11-21-2;14538;
2025-11-21T08:26:35Z;range_open;BUY;4044.0;2025-11-21-3;14540;0.90
2025-11-21T08:49:12Z;range_close;;;2025-11-21-3;14552;
2025-11-21T09:03:01Z;range_open;BUY;4047.0;2025-11-21-4;14554;0.90
2025-11-21T09:44:44Z;range_close;;;2025-11-21-4;14557;
2025-11-21T10:14:44Z;range_open;BUY;4036.0;2025-11-21-5;14560;0.90
2025-11-21T10:22:18Z;range_close;;;2025-11-21-5;14568;
2025-11-21T11:07:48Z;range_open;BUY;4043.0;2025-11-21-6;14570;0.90
2025-11-21T11:38:11Z;range_close;;;2025-11-21-6;14581;
2025-11-21T12:07:48Z;range_open;BUY;4043.0;2025-11-21-7;14584;0.90
2025-11-21T15:40:12Z;range_close;;;2025-11-21-7;14596;
2025-11-24T08:22:50Z;range_open;BUY;4065.0;2025-11-24-1;14603;0.90
2025-11-24T08:45:57Z;range_close;;;2025-11-24-1;14612;
2025-11-24T09:09:57Z;range_open;BUY;4068.0;2025-11-24-2;14614;0.90
2025-11-24T09:47:13Z;range_close;;;2025-11-24-2;14623;
2025-11-24T10:03:19Z;range_open;BUY;4076.0;2025-11-24-3;14626;0.90
2025-11-24T10:17:16Z;range_close;;;2025-11-24-3;14637;
2025-11-24T11:12:35Z;range_open;BUY;4067.0;2025-11-24-4;14639;0.90
2025-11-24T12:10:47Z;range_close;;;2025-11-24-4;14644;
2025-11-24T12:33:41Z;range_open;BUY;4073.0;2025-11-24-5;14646;0.90
2025-11-24T13:51:43Z;range_close;;;2025-11-24-5;14648;
2025-11-24T15:10:06Z;range_open;BUY;4090.0;2025-11-24-6;14651;0.90
2025-11-24T15:31:48Z;range_close;;;2025-11-24-6;14661;
2025-11-25T08:35:04Z;range_open;BUY;4129.0;2025-11-25-1;14666;0.90
2025-11-25T08:41:20Z;range_close;;;2025-11-25-1;14669;
2025-11-25T08:52:12Z;range_open;BUY;4118.0;2025-11-25-2;14671;0.90
2025-11-25T09:03:01Z;range_close;;;2025-11-25-2;14674;
2025-11-25T10:03:51Z;range_open;BUY;4133.0;2025-11-25-3;14678;0.90
2025-11-25T10:30:47Z;range_close;;;2025-11-25-3;14688;
2025-11-25T12:04:54Z;range_open;BUY;4135.0;2025-11-25-4;14690;0.90
2025-11-25T12:38:12Z;range_close;;;2025-11-25-4;14700;
2025-11-25T13:02:59Z;range_open;BUY;4132.0;2025-11-25-5;14702;0.90
2025-11-25T14:27:53Z;range_close;;;2025-11-25-5;14705;
2025-11-26T08:07:41Z;range_open;BUY;4164.0;2025-11-26-1;14710;0.90
2025-11-26T08:35:53Z;range_close;;;2025-11-26-1;14719;
2025-11-26T10:53:44Z;range_open;BUY;4160.0;2025-11-26-2;14737;0.90
2025-11-26T12:28:47Z;range_close;;;2025-11-26-2;14741;
2025-11-26T14:08:18Z;range_open;BUY;4141.0;2025-11-26-3;14759;0.90
2025-11-26T14:11:51Z;range_close;;;2025-11-26-3;14765;
2025-11-27T08:09:12Z;range_open;BUY;4162.0;2025-11-27-1;14770;0.90
2025-11-27T09:15:26Z;range_close;;;2025-11-27-1;14781;
2025-11-27T09:19:07Z;range_open;BUY;4151.0;2025-11-27-2;14782;0.90
